ID,transaction_id,user_id,age,gender,country,device_type,device_os,merchant_category,transaction_amount,transaction_type,time_of_day,day_of_week,transaction_duration,num_prev_transactions,avg_transaction_amount,std_transaction_amount,transactions_last_24h,transactions_last_1h,failed_login_attempts,ip_risk_score,device_trust_score,account_age_days,has_chargeback_history,shared_ip_users,shared_device_users,merchant_risk,country_risk,distance_from_home,is_new_country,is_fraud
0,T0065716,15307,35,M,UK,mobile,Android,clothing,17.7,purchase,18,1,3.04,34,91.01,56.68,0,0,1,0.464,0.793,1056,0,1,1,0.1,0.04,9.66,0,1
1,T0027857,1226,54,F,IN,mobile,Android,restaurants,,purchase,7,3,0.33,28,,50.11,1,0,0,0.997,,1867,0,1,1,0.12,0.1,12.05,0,1
2,T0055953,16072,35,M,US,desktop,iOS,restaurants,5.2,purchase,15,5,7.85,31,111.05,20.79,3,0,0,0.94,0.281,1726,1,2,2,0.12,0.05,181.28,0,0
3,T0083660,725,23,F,US,mobile,Android,electronics,180.7,purchase,18,3,4.71,32,27.88,73.32,3,0,0,0.166,0.061,30,1,1,1,0.3,0.05,33.26,0,0
4,T0017674,7367,32,M,UK,mobile,Android,gas,35.45,purchase,8,3,1.56,21,81.34,73.28,0,0,0,0.87,0.592,1386,0,3,1,0.05,0.04,174.83,0,0
5,T0098705,25100,60,M,ID,mobile,Android,electronics,32.57,purchase,7,0,3.74,33,61.45,26.87,1,0,1,0.717,0.971,1950,0,4,1,0.3,0.12,72.28,0,0
6,T0004247,10914,66,F,IN,mobile,Android,gas,2.58,purchase,9,4,4.25,28,103.94,73.73,1,0,1,0.591,0.231,2892,0,1,1,0.05,0.1,31.19,0,0
7,T0015406,15286,57,F,US,desktop,Android,gas,57.61,purchase,14,6,1.1,28,21.86,5.78,0,1,0,0.681,0.424,2977,0,4,1,0.05,0.05,11.16,0,0
8,T0084982,16868,36,M,IN,mobile,iOS,restaurants,7.52,purchase,18,5,0.47,29,79.46,57.75,0,0,0,0.857,0.58,2760,0,3,2,0.12,0.1,0.35,0,1
9,T0037909,8333,64,M,IN,mobile,Windows,services,91.02,purchase,7,2,8.08,25,71.07,45.65,1,0,0,0.455,0.743,1438,0,3,1,0.08,0.1,191.1,0,0
10,T0040057,18700,68,F,US,mobile,Windows,groceries,1.53,topup,18,5,4.29,27,80.94,23.09,0,0,0,0.299,0.375,2187,0,0,1,0.05,0.05,47.67,0,0
11,T0036638,13595,21,F,UK,mobile,Android,travel,21.51,withdrawal,7,4,4.66,28,94.53,44.56,1,0,0,0.372,0.307,380,0,0,2,0.35,0.04,61.07,0,0
12,T0022879,5856,42,F,UK,desktop,Android,restaurants,706.5838965443769,purchase,17,0,3.71,18,132.68,44.47,35,14,0,0.929,0.55,2058,0,0,0,0.12,0.04,29.403069309504644,0,0
13,T0063999,27255,39,F,BR,mobile,Android,gas,97.35,purchase,7,5,1.93,28,65.59,32.71,2,0,0,0.416,0.726,2658,0,1,3,0.05,0.13,57.91,0,0
14,T0095901,27680,61,F,CA,mobile,Windows,groceries,27.06,purchase,9,6,12.73,25,74.25,50.5,0,1,1,0.75,0.728,2987,1,2,1,0.05,0.03,77.42,0,0
15,T0098278,8246,29,F,ID,mobile,Android,services,36.85,purchase,9,5,3.9,29,85.32,25.75,5,0,0,0.992,0.62,172,0,2,3,0.08,0.12,11.12,0,0
16,T0084804,24072,58,M,IN,mobile,Android,restaurants,3.13,purchase,20,1,0.17,26,58.66,76.09,1,0,0,0.813,0.976,2554,1,2,0,0.12,0.1,162.84,0,0
17,T0099351,27469,69,F,US,mobile,Android,financial,25.18,purchase,2,4,6.33,30,71.42,35.72,1,0,0,0.808,0.495,1884,0,0,1,0.5,0.05,13.77,0,0
18,T0046500,29620,33,F,CA,mobile,Android,gas,325.12,purchase,17,1,1.85,34,60.77,35.59,1,0,0,0.025,0.983,319,0,1,0,0.05,0.03,13.97,0,1
19,T0045206,11258,25,M,UK,mobile,Android,electronics,258.54,transfer,7,6,0.41,25,40.88,53.04,2,0,0,0.688,0.289,89,0,1,1,0.3,0.04,129.13,0,1
20,T0081958,19237,49,F,ID,mobile,Android,electronics,124.95,purchase,21,4,3.87,26,76.33,37.95,0,0,2,0.309,0.413,1716,0,0,1,0.3,0.12,247.85,0,0
21,T0048595,12287,50,M,US,mobile,iOS,clothing,29.16,topup,9,1,0.31,26,49.87,44.22,1,0,0,0.487,0.033,2693,0,5,0,0.1,0.05,84.89,0,0
22,T0084517,8438,67,M,IN,desktop,Android,gas,10.4,withdrawal,19,1,2.16,35,76.51,63.84,2,0,0,0.064,0.895,1440,0,2,4,0.05,0.1,176.06,1,0
23,T0021563,16760,72,F,BR,mobile,Android,gas,110.49,transfer,14,0,2.57,36,99.53,49.78,1,0,0,0.506,0.79,590,0,4,3,0.05,0.13,33.22,0,0
24,T0079831,1237,49,F,DE,mobile,Android,financial,59.14,purchase,7,0,9.69,25,103.93,12.26,1,0,0,0.997,0.087,2456,0,1,0,0.5,0.04,262.86,1,1
25,T0069439,15748,32,M,IN,mobile,Linux,electronics,67.61,purchase,6,1,16.23,27,62.59,6.68,2,0,0,0.032,0.991,2322,0,3,2,0.3,0.1,303.47,0,0
26,T0034304,12826,18,F,CA,mobile,Windows,clothing,166.17,purchase,18,2,2.45,29,88.72,6.69,2,0,1,0.337,0.949,1919,0,3,1,0.1,0.03,5.75,0,0
27,T0073795,11115,22,M,ID,mobile,Android,gas,112.81,transfer,11,5,0.12,36,40.57,76.0,0,0,0,0.651,0.912,2866,0,1,3,0.05,0.12,96.12,1,0
28,T0006218,25339,75,M,IN,mobile,Android,clothing,38.61,topup,7,0,3.53,30,47.2,30.46,0,0,0,0.848,0.696,568,0,1,0,0.1,0.1,26.35,1,0
29,T0039411,27683,79,F,US,mobile,iOS,restaurants,14.29,purchase,8,1,2.75,32,46.38,54.21,2,0,0,0.386,0.285,1043,0,2,5,0.12,0.05,285.26,0,0
30,T0096060,1029,63,F,US,mobile,Android,travel,1639.626984869817,withdrawal,7,0,11.25,39,97.71,17.23,14,6,1,0.89,0.11,2117,0,3,2,0.35,0.05,663.817022660671,0,1
31,T0073351,3159,41,M,IN,mobile,Android,restaurants,17.29,purchase,21,5,9.57,25,101.21,24.24,2,0,0,0.381,0.768,1561,0,5,0,0.12,0.1,191.55,0,0
32,T0087845,12318,18,M,CA,mobile,Android,electronics,27.41,withdrawal,18,4,2.08,30,69.17,73.19,1,1,1,0.793,0.98,1846,0,1,2,0.3,0.03,123.79,0,0
33,T0035990,6535,25,F,IN,mobile,Android,travel,12.42,withdrawal,11,4,3.64,40,64.03,22.22,1,0,0,0.927,0.761,1994,0,1,0,0.35,0.1,99.24,0,0
34,T0052958,91,75,F,UK,mobile,Android,financial,354.18,purchase,9,5,3.95,36,41.29,62.16,2,1,1,0.748,0.917,2340,0,1,1,0.5,0.04,5.81,0,0
35,T0073595,7606,61,M,CA,mobile,Android,restaurants,22.9,purchase,9,5,1.91,26,42.87,51.82,1,0,0,0.337,0.4,1610,0,4,1,0.12,0.03,64.47,0,0
36,T0037939,26843,43,M,US,mobile,Android,services,153.65,topup,14,0,2.51,22,64.52,7.9,1,0,0,0.85,0.506,668,0,2,1,0.08,0.05,53.0,0,0
37,T0018135,29490,73,F,IN,desktop,Android,travel,49.94,topup,0,4,1.81,28,81.09,64.0,3,0,0,0.595,0.646,1857,0,1,1,0.35,0.1,300.75,0,1
38,T0032104,16869,21,F,UK,mobile,iOS,clothing,94.54,topup,8,4,0.42,31,28.1,21.9,2,0,0,0.735,0.078,1456,0,2,1,0.1,0.04,30.38,0,0
39,T0009693,7368,37,M,IN,mobile,Android,electronics,10.92,purchase,12,0,4.15,26,85.48,41.45,0,1,0,0.579,0.408,756,0,3,2,0.3,0.1,152.99,0,0
40,T0028960,15905,40,F,UK,mobile,Android,electronics,101.04,topup,19,0,6.81,38,101.36,38.96,5,0,0,0.877,0.858,44,0,1,2,0.3,0.04,71.19,1,0
41,T0034469,23815,61,F,US,mobile,Android,clothing,101.54,purchase,9,4,8.46,24,23.03,5.53,0,0,0,0.035,0.738,906,0,0,1,0.1,0.05,190.81,0,0
42,T0075013,22053,60,F,IN,mobile,iOS,groceries,186.75,purchase,21,5,0.54,40,27.37,74.93,3,0,0,0.18,0.348,2153,0,0,0,0.05,0.1,105.28,0,0
43,T0056059,201,50,F,CA,desktop,Android,gas,1331.419272391729,purchase,15,1,2.71,30,111.37,50.12,25,5,0,0.802,0.344,1411,0,2,2,0.05,0.03,311.0420520374938,0,0
44,T0028705,27864,40,M,IN,mobile,Android,groceries,91.25,purchase,15,4,2.68,40,70.2,59.98,1,0,0,0.473,0.053,1025,0,4,1,0.05,0.1,4.09,0,0
45,T0041573,15090,46,M,ID,tablet,iOS,travel,33.01,topup,15,5,0.41,34,78.05,29.03,2,0,0,0.96,0.576,2892,0,1,0,0.35,0.12,116.8,0,0
46,T0063497,24297,24,F,CA,mobile,iOS,restaurants,135.01,purchase,16,6,0.86,28,90.55,42.37,1,0,0,0.551,0.335,2647,0,3,2,0.12,0.03,9.28,0,0
47,T0031171,8615,28,F,US,mobile,Windows,gas,7.02,transfer,20,6,1.92,33,73.5,75.36,2,0,0,0.781,0.422,589,0,1,2,0.05,0.05,82.54,0,0
48,T0027240,1404,58,M,US,mobile,iOS,groceries,47.43,purchase,20,0,0.66,38,123.96,30.11,3,0,0,0.495,0.247,1223,0,1,1,0.05,0.05,134.88,0,0
49,T0076605,21782,43,M,DE,mobile,Windows,electronics,26.28,purchase,11,0,0.98,25,61.46,35.21,0,0,1,0.542,0.709,760,0,3,1,0.3,0.04,10.86,0,0
50,T0060024,15764,54,M,UK,mobile,iOS,groceries,58.86,purchase,7,1,2.39,34,81.53,45.33,0,0,1,0.518,0.847,2738,0,3,3,0.05,0.04,328.18,0,0
51,T0045913,6473,69,M,US,mobile,Android,gas,76.57,purchase,9,2,3.43,29,14.04,79.22,1,0,0,0.572,0.748,2165,0,2,3,0.05,0.05,499.91,0,0
52,T0006931,28431,70,M,UK,mobile,iOS,electronics,29.07,purchase,7,3,14.12,32,41.7,28.0,2,0,0,0.472,0.756,1794,1,1,6,0.3,0.04,64.19,0,0
53,T0075032,26235,29,M,IN,mobile,Android,electronics,44.44,purchase,18,5,4.04,30,88.4,5.33,0,0,0,0.489,0.324,1440,0,3,1,0.3,0.1,117.83,1,0
54,T0072382,21434,29,F,US,tablet,Android,travel,6.19,purchase,21,4,7.7,26,117.97,14.5,2,0,0,0.398,0.154,482,0,2,2,0.35,0.05,42.25,0,0
55,T0006255,12058,22,M,DE,mobile,iOS,groceries,10.13,topup,11,1,3.46,30,5.3,21.82,0,0,0,0.316,0.575,991,0,4,0,0.05,0.04,38.62,0,0
56,T0007249,298,79,M,IN,mobile,Windows,financial,88.25,purchase,18,0,0.11,28,32.22,74.94,1,0,0,0.818,0.523,1732,0,3,3,0.5,0.1,10.21,0,0
57,T0080208,23580,49,M,IN,tablet,iOS,financial,287.12,topup,12,1,8.27,25,123.14,49.37,1,0,0,0.469,0.041,1543,0,2,2,0.5,0.1,149.46,0,1
58,T0001512,22521,57,F,DE,mobile,Android,restaurants,33.35,withdrawal,17,1,1.69,31,87.16,66.92,0,0,0,0.163,0.72,200,0,0,3,0.12,0.04,9.92,0,0
59,T0094852,9855,27,M,BR,mobile,Android,restaurants,178.65,purchase,9,2,3.4,26,81.72,33.42,1,0,0,0.369,0.527,598,0,4,0,0.12,0.13,126.28,0,0
60,T0064236,16060,59,M,US,mobile,Android,restaurants,126.63,transfer,20,1,7.73,29,112.82,60.89,4,0,0,0.231,0.062,2028,0,2,2,0.12,0.05,16.66,0,1
61,T0054336,10627,40,M,IN,mobile,Linux,restaurants,129.32,purchase,11,5,12.81,40,89.94,49.83,2,0,0,0.751,0.3,2038,0,2,2,0.12,0.1,79.23,0,0
62,T0035214,17823,72,M,UK,mobile,iOS,electronics,255.57,purchase,19,0,5.0,43,28.65,11.18,0,0,0,0.794,0.6,1756,0,3,1,0.3,0.04,70.15,0,0
63,T0096118,8243,49,M,BR,mobile,Windows,travel,40.31,topup,11,6,4.57,32,112.54,40.58,4,0,0,0.789,0.53,888,0,4,2,0.35,0.13,79.59,0,0
64,T0098200,12308,34,M,IN,mobile,Windows,travel,335.32,purchase,18,1,2.27,26,99.76,29.73,2,0,1,0.585,0.933,1977,0,1,3,0.35,0.1,38.17,0,0
65,T0056423,20877,36,M,ID,mobile,Windows,clothing,2.47,topup,8,3,0.38,25,63.14,68.91,4,0,1,0.6,0.889,678,0,6,1,0.1,0.12,85.12,0,1
66,T0097057,12437,25,M,IN,mobile,Windows,electronics,7.04,withdrawal,18,5,9.24,28,38.91,15.3,0,0,0,0.294,0.453,492,0,0,0,0.3,0.1,352.68,0,0
67,T0098707,22803,31,M,IN,mobile,Android,gas,21.55,purchase,8,6,8.19,27,73.15,69.02,2,0,0,0.709,0.574,217,0,2,0,0.05,0.1,47.25,0,0
68,T0009126,8535,61,M,IN,mobile,MacOS,gas,18.63,withdrawal,15,3,6.18,32,44.42,61.8,3,0,0,0.106,0.059,999,0,4,1,0.05,0.1,297.04,0,0
69,T0020101,22246,18,F,US,desktop,Linux,restaurants,120.59,purchase,8,1,0.84,30,33.35,74.49,1,0,1,0.479,0.613,2348,0,3,3,0.12,0.05,168.14,0,0
70,T0081934,23986,54,M,CA,mobile,Windows,restaurants,264.89,transfer,11,1,11.92,34,108.26,39.4,0,0,0,0.444,0.777,1104,0,0,2,0.12,0.03,298.58,0,0
71,T0044749,21917,62,M,ID,mobile,Android,clothing,136.69,purchase,15,3,6.29,29,33.41,54.45,0,0,1,0.053,0.343,1473,0,2,2,0.1,0.12,18.96,0,0
72,T0025626,19380,70,F,UK,mobile,Linux,clothing,25.98,topup,0,5,1.4,27,82.73,69.38,1,0,0,0.785,0.488,248,0,1,1,0.1,0.04,38.17,1,0
73,T0054733,25815,21,F,IN,mobile,Android,electronics,49.54,purchase,8,5,22.86,28,123.63,41.12,0,0,0,0.903,0.626,1982,0,2,3,0.3,0.1,14.16,0,0
74,T0005711,19390,44,F,IN,desktop,Android,restaurants,20.8,purchase,4,4,3.48,21,138.41,55.52,1,0,0,0.253,0.303,2965,1,3,1,0.12,0.1,43.56,0,0
75,T0035528,24570,69,M,UK,mobile,Linux,restaurants,0.51,purchase,9,0,4.11,30,-0.75,20.28,2,1,0,0.883,0.499,387,0,2,2,0.12,0.04,22.9,0,0
76,T0096513,5452,63,M,IN,mobile,iOS,restaurants,16.04,purchase,19,6,1.38,30,110.56,46.8,2,0,0,0.224,0.377,1547,0,4,2,0.12,0.1,45.47,0,1
77,T0097959,24887,19,M,US,tablet,Android,clothing,99.68,purchase,11,0,1.26,29,93.13,37.66,1,0,0,0.321,0.942,2485,0,2,2,0.1,0.05,44.05,0,0
78,T0015308,6279,20,F,CA,tablet,iOS,electronics,29.33,topup,21,0,6.39,25,63.7,28.28,0,0,0,0.993,0.76,1096,1,2,2,0.3,0.03,30.4,0,0
79,T0052502,27839,25,F,IN,desktop,Android,restaurants,30.2,purchase,8,3,7.09,29,49.55,69.37,0,0,1,0.652,0.908,963,0,2,0,0.12,0.1,13.94,0,0
80,T0022931,17928,42,M,US,mobile,iOS,financial,63.89,withdrawal,18,6,1.2,32,71.04,58.13,2,0,1,0.357,0.422,510,0,3,1,0.5,0.05,23.74,0,0
81,T0088356,9558,28,M,CA,mobile,iOS,gas,54.02,withdrawal,17,3,1.28,37,82.83,38.52,1,0,0,0.39,0.523,181,0,8,3,0.05,0.03,281.72,0,1
82,T0099252,19494,73,F,IN,mobile,Android,groceries,29.65,purchase,18,4,0.45,33,71.74,58.39,2,0,0,0.839,0.551,68,0,2,0,0.05,0.1,330.0,0,0
83,T0009649,16803,35,M,IN,mobile,Android,electronics,92.74,purchase,9,3,5.32,26,82.09,21.9,3,0,0,0.02,0.985,1394,0,0,3,0.3,0.1,49.17,0,0
84,T0057439,14433,39,F,DE,mobile,Windows,restaurants,110.31,purchase,19,4,15.29,18,93.54,41.02,2,0,0,0.934,0.363,2683,0,1,0,0.12,0.04,140.07,0,1
85,T0065911,15032,78,M,UK,mobile,Android,luxury,83.13,purchase,11,5,10.12,22,147.75,68.36,2,0,0,0.031,0.712,1946,0,0,4,0.55,0.04,561.32,0,0
86,T0008997,11018,60,M,US,desktop,Android,gas,76.14,purchase,19,2,0.47,33,37.7,74.56,1,0,0,0.795,0.968,1911,0,1,3,0.05,0.05,4.27,0,0
87,T0060131,19139,75,M,IN,mobile,Windows,clothing,,transfer,18,1,19.91,30,,79.84,2,1,0,0.771,,471,0,2,1,0.1,0.1,66.82,0,0
88,T0004154,3268,57,M,ID,mobile,Android,restaurants,6.56,topup,17,0,0.73,23,124.22,27.88,2,0,0,0.201,0.764,576,0,0,3,0.12,0.12,146.69,0,0
89,T0046626,14191,57,M,CA,mobile,iOS,restaurants,121.59,purchase,7,1,6.46,28,111.64,78.05,1,0,0,0.519,0.802,1965,0,0,1,0.12,0.03,56.42,0,0
90,T0080848,5823,27,M,DE,mobile,iOS,electronics,31.88,purchase,19,2,1.25,25,99.32,30.13,0,0,1,0.276,0.969,100,0,0,1,0.3,0.04,103.51,0,0
91,T0020144,7926,58,M,CA,mobile,iOS,restaurants,9.33,transfer,16,6,1.78,36,61.0,19.18,3,0,0,0.155,0.157,1094,0,2,3,0.12,0.03,136.31,0,0
92,T0032325,15406,32,F,IN,mobile,Android,electronics,274.69,purchase,9,1,1.52,18,158.16,11.43,1,1,1,0.448,0.299,1153,0,3,5,0.3,0.1,10.39,0,1
93,T0055821,11835,76,M,UK,desktop,iOS,travel,79.47,withdrawal,13,0,0.5,20,97.07,39.25,0,0,0,0.984,0.405,2289,0,4,1,0.35,0.04,127.25,0,0
94,T0088514,29401,43,F,IN,mobile,iOS,electronics,62.46,withdrawal,18,4,0.23,25,48.16,53.46,1,0,0,0.643,0.579,2679,0,1,1,0.3,0.1,12.74,0,0
95,T0011972,5921,65,M,AU,tablet,iOS,restaurants,49.31,purchase,5,1,7.02,42,35.09,25.34,3,0,0,0.497,0.297,1748,0,6,1,0.12,0.03,120.55,0,0
96,T0080203,22174,62,F,UK,mobile,iOS,electronics,184.03,purchase,9,5,3.66,31,57.56,19.86,1,0,0,0.381,0.123,1409,0,3,3,0.3,0.04,51.45,0,0
97,T0070746,13172,52,F,US,desktop,Android,electronics,155.48,purchase,9,6,0.44,35,44.07,16.24,2,0,0,0.82,0.503,1320,0,1,3,0.3,0.05,11.86,0,0
98,T0050905,4617,46,M,US,mobile,Android,groceries,38.54,topup,9,3,1.51,29,104.92,26.22,0,1,0,0.758,0.902,116,0,1,2,0.05,0.05,55.6,1,0
99,T0012309,27941,75,F,US,mobile,Android,clothing,253.73,purchase,11,3,1.3,34,119.81,45.43,2,0,0,0.766,0.142,550,0,6,4,0.1,0.05,65.88,0,0
100,T0007484,299,48,M,US,mobile,Windows,gas,3.44,topup,9,0,4.68,32,128.32,55.05,2,0,1,0.212,0.685,1575,0,2,1,0.05,0.05,0.31,0,0
101,T0040919,11224,39,M,IN,mobile,Android,electronics,325.12,topup,5,5,1.82,31,39.68,51.34,0,0,0,0.591,0.251,2701,1,2,3,0.3,0.1,0.1,0,0
102,T0029721,18732,19,M,BR,mobile,Android,restaurants,206.95,purchase,9,6,3.41,39,112.91,37.44,2,0,0,0.507,0.152,2761,0,3,2,0.12,0.13,73.67,0,1
103,T0035718,7819,28,M,CA,mobile,Android,groceries,4.1,purchase,6,5,2.69,26,54.6,8.67,1,0,0,0.388,0.814,2428,0,0,0,0.05,0.03,143.11,0,0
